12:01:02.0	POWER
12:01:04.0	POWER
12:01:04.0	POWER
12:01:06.0	EVENT J
12:01:07.0	EVENT INDD
12:01:08.0	EVENT IND
12:01:10.0	NEWRUN
12:01:11.0	TOG 1
12:01:12.0	TOG 2
12:01:13.0	NUM 687
12:01:14.0	NUM 530
12:01:16.0	TRIG 1
12:01:40.0	TRIG 2
12:01:42.0	TRIG 3
12:01:44.0	TRIG 4
12:01:46.0	PRINT
12:01:47.0	ENDRUN
12:01:48.0	NEWRUN
12:01:50.0	EVENT IND
12:01:51.0	TOG 1
12:01:52.0	TOG 2
12:01:54.0	NUM 687
12:01:56.0	NUM 530
12:01:58.0	TOG 1
12:02:00.0	TOG 2
12:02:02.0	NUM 687
12:02:04.0	NUM 530
12:02:06.0	TOG 3
12:02:08.0	TOG 4
12:02:10.0	START
12:02:12.0	SWAP
12:02:30.0	FINISH
12:02:32.0	START
12:10:00.0	DNF
12:10:02.0	PRINT
12:10:03.0	ENDRUN
12:10:06.0	EXIT
